#,Biomarker,Category,Applies to,Unit,🟢 Optimal range,🟡 Sub-optimal when value is,🔴 Action required when value is,Our explainer (patient-facing),Our source,Approve as-is? (Y/N),Corrected values (if any),Notes
1,Vitamin D (25-OH),Nutrient Health,Adults (any sex),ng/mL,30 to 100 (inclusive),"> 20 and < 30, or > 100 and < 150",≤ 20 or ≥ 150,"Vitamin D supports bone health, immune function, and muscle strength. Levels below 30 ng/mL are considered insufficient; below 20 is deficient. Adequate sun exposure and supplementation typically correct low levels within 8–12 weeks.",Endocrine Society Clinical Practice Guideline on Vitamin D (2024 update),,,
2,Vitamin B12,Nutrient Health,Adults (any sex),pg/mL,400 to 900 (inclusive),"> 200 and < 400, or > 900 and < 2000",≤ 200 or ≥ 2000,"Vitamin B12 is essential for red blood cell formation and neurological function. Low levels can cause fatigue, numbness, and anaemia; common in vegetarian/vegan diets and in people with gut absorption issues.",National Institutes of Health — Office of Dietary Supplements (2024),,,
3,Folate (B9),Nutrient Health,Adults (any sex),ng/mL,5 to 20 (inclusive),"> 3 and < 5, or > 20 and < 25",≤ 3 or ≥ 25,Folate is required for DNA synthesis and red blood cell production. Adequate levels are important for cardiovascular and neurological health.,Institute of Medicine DRI — Folate (2024 review),,,
4,Ferritin,Nutrient Health,Adult men,ng/mL,50 to 300 (inclusive),"> 30 and < 50, or > 300 and < 400",≤ 30 or ≥ 400,Ferritin reflects iron stores. Low levels indicate iron deficiency; high levels can indicate inflammation or iron overload.,WHO / AACC ferritin reference (2024),,,
5,Ferritin,Nutrient Health,"Adult women, (pregnancy-sensitive)",ng/mL,30 to 200 (inclusive),"> 15 and < 30, or > 200 and < 300",≤ 15 or ≥ 300,Ferritin reflects iron stores. Low levels indicate iron deficiency; high levels can indicate inflammation or iron overload.,WHO / AACC ferritin reference (2024),,,
6,TSH,Thyroid,"Adults (any sex), (pregnancy-sensitive)",µIU/mL,0.5 to 2.5 (inclusive),"> 0.3 and < 0.5, or > 2.5 and < 4.5",≤ 0.3 or ≥ 4.5,TSH is the primary screening test for thyroid function. High TSH typically indicates underactive thyroid; low TSH indicates overactive thyroid. Pregnancy-specific ranges differ significantly — this marker is intentionally not classified when pregnancy status is positive or unknown.,Endocrine Society / AACE Thyroid Guidelines (2024),,,
7,HbA1c,Metabolic,"Adults (any sex), (pregnancy-sensitive)",%,4 to 5.6 (inclusive),"> 3.5 and < 4, or > 5.6 and < 6.4",≤ 3.5 or ≥ 6.4,HbA1c estimates average blood sugar over the prior 2–3 months. 5.7–6.4% is prediabetic range; 6.5% or higher meets diabetes threshold. Pregnancy-specific ranges differ.,American Diabetes Association Standards of Care (2024),,,
8,Hemoglobin,CBC,Adult men,g/dL,13.5 to 17.5 (inclusive),"> 12.5 and < 13.5, or > 17.5 and < 18.5",≤ 12.5 or ≥ 18.5,Hemoglobin carries oxygen from the lungs to the rest of the body. Low levels indicate anaemia.,WHO anaemia thresholds (2024) + AACC reference intervals,,,
9,Hemoglobin,CBC,"Adult women, (pregnancy-sensitive)",g/dL,12 to 15.5 (inclusive),"> 11 and < 12, or > 15.5 and < 16.5",≤ 11 or ≥ 16.5,Hemoglobin carries oxygen from the lungs to the rest of the body. Low levels indicate anaemia.,WHO anaemia thresholds (2024) + AACC reference intervals,,,
10,Free T3,Thyroid,"Adults (any sex), (pregnancy-sensitive)",pg/mL,2.3 to 4.2 (inclusive),"> 2 and < 2.3, or > 4.2 and < 4.6",≤ 2 or ≥ 4.6,Free T3 is the active thyroid hormone. Low levels often accompany hypothyroidism; high levels accompany hyperthyroidism. Pregnancy-specific ranges differ.,Endocrine Society Thyroid Guidelines (2024),,,
11,Free T4,Thyroid,"Adults (any sex), (pregnancy-sensitive)",ng/dL,0.9 to 1.7 (inclusive),"> 0.8 and < 0.9, or > 1.7 and < 1.8",≤ 0.8 or ≥ 1.8,Free T4 is the inactive storage form of thyroid hormone. Interpreted alongside TSH and Free T3. Pregnancy-specific ranges differ.,Endocrine Society Thyroid Guidelines (2024),,,
12,Total Testosterone,Hormonal Balance,Adult men,ng/dL,500 to 900 (inclusive),"> 300 and < 500, or > 900 and < 1100",≤ 300 or ≥ 1100,"Total testosterone drives libido, muscle mass, and hair growth in men. Low levels are associated with fatigue, low libido, and metabolic changes.",Endocrine Society — Testosterone Therapy Guidelines (2024),,,
13,Total Testosterone,Hormonal Balance,Adult women,ng/dL,15 to 70 (inclusive),"> 8 and < 15, or > 70 and < 80",≤ 8 or ≥ 80,"Testosterone in women supports bone density, libido, and mood. Elevated levels (outside pregnancy) may indicate PCOS.",Endocrine Society — PCOS Guidelines (2024),,,
14,Free Testosterone,Hormonal Balance,Adult men,pg/mL,9 to 30 (inclusive),"> 5 and < 9, or > 30 and < 35",≤ 5 or ≥ 35,Free testosterone is the biologically active fraction unbound to proteins. Interpreted alongside total testosterone and SHBG.,Endocrine Society — Testosterone Therapy Guidelines (2024),,,
15,Free Testosterone,Hormonal Balance,Adult women,pg/mL,0.3 to 1.9 (inclusive),"> 0.1 and < 0.3, or > 1.9 and < 2.2",≤ 0.1 or ≥ 2.2,Free testosterone is the biologically active fraction. Elevated levels in women may indicate PCOS.,Endocrine Society — PCOS Guidelines (2024),,,
16,SHBG,Hormonal Balance,Adult men,nmol/L,20 to 60 (inclusive),"> 10 and < 20, or > 60 and < 75",≤ 10 or ≥ 75,SHBG binds sex hormones in blood. Low SHBG is associated with insulin resistance; high SHBG with reduced free testosterone.,AACC reference intervals (2024),,,
17,SHBG,Hormonal Balance,Adult women,nmol/L,40 to 120 (inclusive),"> 20 and < 40, or > 120 and < 140",≤ 20 or ≥ 140,SHBG binds sex hormones in blood. Low SHBG in women may signal insulin resistance or PCOS.,Endocrine Society — PCOS Guidelines (2024),,,
18,DHEA-S,Hormonal Balance,Adult men,µg/dL,160 to 450 (inclusive),"> 80 and < 160, or > 450 and < 560",≤ 80 or ≥ 560,DHEA-S is a precursor to sex hormones produced by the adrenal glands. Declines with age; low levels are associated with fatigue.,Endocrine Society adrenal guidelines (2024),,,
19,DHEA-S,Hormonal Balance,Adult women,µg/dL,60 to 350 (inclusive),"> 30 and < 60, or > 350 and < 430",≤ 30 or ≥ 430,DHEA-S in women supports androgen balance. Elevated levels may indicate adrenal origin of androgen excess.,Endocrine Society PCOS Guidelines (2024),,,
20,Luteinizing Hormone,Hormonal Balance,Adult men,mIU/mL,1.7 to 8.6 (inclusive),"> 1 and < 1.7, or > 8.6 and < 12",≤ 1 or ≥ 12,LH stimulates testosterone production in men. Low levels may indicate pituitary dysfunction.,AACC reference intervals (2024),,,
